ïcountyfips,locationname,tract_id,measure,heart_disease,diabetes,cancer,smoke,self_health,binge_drink,phy_act,sleep,chol_screen,insur_rate,broadband_perc,hpsatract,countyfips,hpsacounty,zip,ozone,pm25,dieselpm,pesticides,toxrelease,cleanupsites,groundwaterthreats,hazwaste,impwaterbodies,solidwaste,pollutionburden,pollutionburdenscore,drinkingwatern,trafficn,leadn,asthman,lowbirthweightn,cardiovasculardiseasen,educationn,linguisticisolationn,povertyn,unemploymentn,housingburdenn,californiacounty,totalpopulation,children10years_n,pop1064years_n,elderly64years_n,hispanic_n,white_n,africanamerican_n,nativeamerican_n,asianamerican_n,othermultiple_n
6001,6001400100,6001400100,Coronary heart disease among adults aged >=18 years,5,8,8.6000004,6.5999999,10.3,15.2,12.8,27,93.300003,99.505768,91.91523,0,6001,0,94704,.028999999,8.9532976,.093000002,0,626.77435,9,12.25,2,2,1,34.02,4.1500001,110.41,965.94617,15.25,15.65,3.8499999,5.2399998,3.3,1.2,10.4,,11.2,Alameda ,3120,7.8200002,66.120003,26.059999,3.78,74.260002,3.4300001,0,12.53,5.9899998
6001,6001400200,6001400200,Coronary heart disease among adults aged >=18 years,3.8,6.1999998,7,6.6999998,8.6000004,18.6,11.5,26.799999,90.5,99.596573,97.108437,0,6001,0,94618,.028999999,9.2988605,.59100002,0,609.96002,0,44.25,.16500001,0,0,33.02,4.0300002,110.41,716.82251,61.709999,20.469999,4.0500002,8.1400003,.40000001,0,10.6,3,4,Alameda ,2007,10.46,66.32,23.219999,8.6700001,73.489998,2.5899999,.2,8.5200005,6.5300002
6001,6001400300,6001400300,Coronary heart disease among adults aged >=18 years,3.2,5.9000001,5.6999998,9,10.2,19.299999,13.5,30.5,89.5,99.663902,88.052917,0,6001,0,94618,.028999999,9.4458122,.49700001,0,598.87769,.89999998,38.549999,.59500003,0,0,36.639999,4.4699998,110.41,776.49078,58.82,30.879999,3.78,8.8800001,5.5999999,8,10.3,3.9000001,8.8999996,Alameda ,5051,11.42,73.040001,15.54,6.9499998,67.989998,9.0900002,0,12.14,3.8399999
6001,6001400400,6001400400,Coronary heart disease among adults aged >=18 years,3.0999999,5.8000002,5.3000002,8.8999996,10.2,19.9,13.5,30,88.400002,97.438354,96.321838,0,6001,0,94609,.028999999,9.3697309,.32699999,0,624.62933,0,60.5,.315,0,0,33.82,4.1300001,110.41,721.54279,60.880001,49.610001,4.4400001,8.0799999,4.8000002,.89999998,21.1,2.5,14.8,Alameda ,4007,9.3800001,78.790001,11.83,12.1,63.740002,6.6399999,.87,10.48,6.1599998
6001,6001400500,6001400500,Coronary heart disease among adults aged >=18 years,3.3,7,4.8000002,10.6,12.1,19.6,15.9,32.700001,87.400002,97.314102,95.49604,0,6001,0,94609,.028999999,9.3697309,.233,0,641.72266,3.5,37,.34999999,0,0,35.880001,4.3800001,110.41,862.26685,61.560001,86.57,3.6400001,11.13,2.3,1.7,21.9,3.8,14.8,Alameda ,4124,9.1199999,81.959999,8.9200001,9.46,45.439999,21.389999,0,11.34,12.37
6001,6001400600,6001400600,Coronary heart disease among adults aged >=18 years,2.9000001,6.6999998,4.8000002,8.8999996,10.9,19.700001,14.3,32.599998,87.300003,96.633553,90.434784,0,6001,0,94609,.028999999,9.3697309,.38299999,0,616.12836,1.75,29.799999,.37,0,0,37.860001,4.6199999,110.41,1164.2152,62.830002,101.53,2.5599999,12.8,2.8,1,16,7.5,18,Alameda ,1745,9.9700003,81.43,8.6000004,7.5100002,49.279999,20.52,.17,10.54,11.98
6001,6001400700,6001400700,Coronary heart disease among adults aged >=18 years,4.0999999,9.6000004,5.4000001,10.6,14.8,17.1,18,36,88.400002,90.997093,90.885681,0,6001,0,94608,.028999999,9.4091148,.352,0,626.32935,9.1499996,56.900002,.56,10,0,46.869999,5.7199998,110.41,911.60083,68.32,104.19,5.5999999,10.63,,4.8000002,33.200001,7,22.1,Alameda ,5128,7.6199999,82.449997,9.9300003,19.379999,38.279999,28.24,0,6.4200001,7.6799998
6001,6001400800,6001400800,Coronary heart disease among adults aged >=18 years,4.0999999,9.1999998,5.3000002,11.2,14.8,17,18.5,34.799999,87.599998,95.161697,91.828575,0,6001,0,94608,.028999999,9.4553442,.23999999,0,643.70068,47.25,150.55,2.8800001,10,0,48.490002,5.9200001,110.41,675.87274,65.25,116.58,7.4400001,10.99,5.5,2.5,36,5.6999998,20.700001,Alameda ,4069,9.04,81.519997,9.4399996,10.62,43.549999,23.27,.2,15.19,7.1799998
6001,6001400900,6001400900,Coronary heart disease among adults aged >=18 years,4,9.1000004,5.0999999,12.3,16,17.6,19.200001,35.599998,87.5,93.059937,89.853745,0,6001,0,94608,.028999999,9.4553442,.34999999,0,607.75867,21.950001,114.1,1.05,10,0,48.459999,5.9200001,110.41,590.0744,77.099998,119.2,7.8899999,11.18,8.8999996,10.3,28.200001,5.5,23.299999,Alameda ,2471,11.17,79.809998,9.0200005,15.82,41.639999,28.77,2.47,4.0900002,7.1999998
6001,6001401000,6001401000,Coronary heart disease among adults aged >=18 years,4,9.8000002,4.6999998,13.8,18.200001,16.9,21.5,37.700001,86.199997,93.93589,89.986526,0,6001,0,94608,.028999999,9.6186714,1.484,0,573.43335,27.6,170.75,1.0650001,10,0,54.73,6.6799998,110.41,1454.9432,79.099998,92.459999,6.9000001,9.3100004,16.200001,8.1000004,27,5,28.5,Alameda ,6133,9.96,80.610001,9.4200001,18.719999,33.439999,30.360001,0,8.2700005,9.21
